id,slug,pattern,meaning,level,lesson,course_group,category,source_url,verification
jp-g-0149,ということ,ということ →  ということ,"~ing, The ~ that ~ (Nominalization)",N4,1,N4 Lesson 1,general,https://bunpro.jp/grammar_points/ということ,source-indexed
jp-g-0150,とき,とき →  とき,"When, At the time of",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/とき,source-indexed
jp-g-0151,まず,まず,"To start with, Firstly",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/まず,source-indexed
jp-g-0152,まで,まで,"Even, To even, To the extent of",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/まで,source-indexed
jp-g-0153,までに,までに,"By ~, By the time that ~, Before ~",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/までに,source-indexed
jp-g-0154,また,また,"Also, As well, Moreover, Again, Additionally",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/また,source-indexed
jp-g-0155,はじめる,はじめる →  はじめる,"To start, To begin to",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/はじめる,source-indexed
jp-g-0156,おわる,おわる →  おわる,"To finish, To end",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/おわる,source-indexed
jp-g-0157,ごろ,ごろ →  ころ,"Around, About",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/ごろ,source-indexed
jp-g-0158,あとで,あとで →  あとで,"After, Later",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/あとで,source-indexed
jp-g-0159,ていた,ていた  → ～ていた,Was doing ~,N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/ていた,source-indexed
jp-g-0160,に-frequency,に (Frequency),"Times (In each time period), Every, Frequency of",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/に-frequency,source-indexed
jp-g-0161,とうとう,とうとう →  とうとう,"Finally, After all",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/とうとう,source-indexed
jp-g-0162,より,より,"More than, Over",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/より,source-indexed
jp-g-0163,ごとに,ごとに →  ごとに,"Each, Every",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/ごとに,source-indexed
jp-g-0164,なるべく,なるべく,"As ~ as possible, Wherever practicable",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/なるべく,source-indexed
jp-g-0165,るところだ,るところだ →  ～るところだ,"About to, On the verge of",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/るところだ,source-indexed
jp-g-0166,のに-despite,のに,"Despite, Although, Even though",N4,2,N4 Lesson 2,general,https://bunpro.jp/grammar_points/のに-despite,source-indexed
jp-g-0167,とおもう,とおもう →  とおもう,I think,N4,3,N4 Lesson 3,general,https://bunpro.jp/grammar_points/とおもう,source-indexed
jp-g-0168,など,など →  など,"Such as, Things like, Etc., And so on",N4,3,N4 Lesson 3,general,https://bunpro.jp/grammar_points/など,source-indexed
jp-g-0169,みたい,みたい,"Like, Similar to, Resembling",N4,3,N4 Lesson 3,general,https://bunpro.jp/grammar_points/みたい,source-indexed
jp-g-0170,こと,こと,Converting a verb into a noun,N4,3,N4 Lesson 3,verb-form,https://bunpro.jp/grammar_points/こと,source-indexed
jp-g-0171,そう,そう,"Look like, Appear, Seem, Have a feeling that",N4,3,N4 Lesson 3,modality,https://bunpro.jp/grammar_points/そう,source-indexed
jp-g-0172,さ,さ,Converting adjectives to nouns,N4,3,N4 Lesson 3,general,https://bunpro.jp/grammar_points/さ,source-indexed
jp-g-0173,とか-とか,とか～とか →  とか,"Among other things, For example, Such as",N4,3,N4 Lesson 3,general,https://bunpro.jp/grammar_points/とか-とか,source-indexed
jp-g-0174,そういう,そういう,"Like that, Kind of",N4,3,N4 Lesson 3,general,https://bunpro.jp/grammar_points/そういう,source-indexed
jp-g-0175,よう-おう,Verb[よう] →  う・よう (Volitional),"Let's, I shall (Casual volitional)",N4,3,N4 Lesson 3,verb-form,https://bunpro.jp/grammar_points/よう-おう,source-indexed
jp-g-0176,ようだ,ようだ →  ようだ,"It seems that, It appears that, It looks like",N4,3,N4 Lesson 3,modality,https://bunpro.jp/grammar_points/ようだ,source-indexed
jp-g-0177,ぜんぜん,ぜんぜん →  ぜんぜん,(Not) at all,N4,3,N4 Lesson 3,general,https://bunpro.jp/grammar_points/ぜんぜん,source-indexed
jp-g-0178,かな,かな,I wonder,N4,3,N4 Lesson 3,general,https://bunpro.jp/grammar_points/かな,source-indexed
